"Pokemon","Move","Qualifier"
"Porygon","Charge Beam",""
"Porygon","Hidden Power",""
"Porygon2","Charge Beam",""
"Porygon2","Hidden Power",""
"Porygon2","Lock-On",""
"Porygon-Z","Charge Beam",""
"Porygon-Z","Hidden Power",""
"Porygon-Z","Lock-On",""
"Primeape","Counter",""
"Primeape","Low Kick",""
"Prinplup","Bubble",""
"Prinplup","Metal Claw",""
"Probopass","Rock Throw",""
"Probopass","Spark",""
"Psyduck","Water Gun",""
"Psyduck","Zen Headbutt",""
"Pupitar","Bite",""
"Pupitar","Rock Smash",""
"Purrloin","Scratch",""
"Purrloin","Sucker Punch",""
"Purugly","Scratch",""
"Purugly","Shadow Claw",""
"Quagsire","Mud Shot",""
"Quagsire","Water Gun",""
"Quilava","Ember",""
"Quilava","Tackle",""
"Qwilfish","Poison Sting",""
"Qwilfish","Water Gun",""
"Raichu","Charm",""
"Raichu","Spark",""
"Raichu","Thunder Shock",""
"Raichu","Volt Switch",""
"Raikou","Thunder Shock",""
"Raikou","Volt Switch",""
"Rainy Form","Tackle",""
"Rainy Form","Water Gun",""
"Ralts","Charge Beam",""
"Ralts","Confusion",""
"Rampardos","Smack Down",""
"Rampardos","Zen Headbutt",""
"Rapidash","Fire Spin",""
"Rapidash","Low Kick",""
"Raticate","Bite",""
"Raticate","Quick Attack",""
"Rattata","Quick Attack",""
"Rattata","Tackle",""
"Rayquaza","Air Slash",""
"Rayquaza","Dragon Tail",""
"Red-Striped Form","Tackle",""
"Red-Striped Form","Water Gun",""
"Regice","Frost Breath",""
"Regice","Lock-On",""
"Regice","Rock Smash",""
"Regigigas","Hidden Power",""
"Regigigas","Zen Headbutt",""
"Regirock","Lock-On",""
"Regirock","Rock Smash",""
"Regirock","Rock Throw",""
"Registeel","Lock-On",""
"Registeel","Metal Claw",""
"Registeel","Rock Smash",""
"Relicanth","Water Gun",""
"Relicanth","Zen Headbutt",""
"Remoraid","Mud Shot",""
"Remoraid","Water Gun",""
"Reshiram","Dragon Breath",""
"Reshiram","Fire Fang",""
"Reuniclus","Hidden Power",""
"Reuniclus","Zen Headbutt",""
"Rhydon","Mud-Slap",""
"Rhydon","Rock Smash",""
"Rhyhorn","Mud-Slap",""
"Rhyhorn","Rock Smash",""
"Rhyperior","Mud-Slap",""
"Rhyperior","Smack Down",""
"Riolu","Counter",""
"Riolu","Quick Attack",""
"Roggenrola","Smack Down",""
"Roggenrola","Tackle",""
"Roselia","Poison Jab",""
"Roselia","Razor Leaf",""
"Roserade","Poison Jab",""
"Roserade","Razor Leaf",""
"Rufflet","Peck",""
"Rufflet","Wing Attack",""
"Sableye","Feint Attack",""
"Sableye","Shadow Claw",""
"Salamence","Bite",""
"Salamence","Dragon Tail",""
"Salamence","Fire Fang",""
"Samurott","Fury Cutter",""
"Samurott","Waterfall",""
"Sandshrew","Mud Shot",""
"Sandshrew","Scratch",""
"Sandslash","Metal Claw",""
"Sandslash","Mud Shot",""
"Sandy Cloak","Bug Bite",""
"Sandy Cloak","Bug Bite",""
"Sandy Cloak","Confusion",""
"Sandy Cloak","Tackle",""
"Sawk","Low Kick",""
"Sawk","Poison Jab",""
"Sceptile","Bullet Seed",""
"Sceptile","Fury Cutter",""
"Scizor","Bullet Punch",""
"Scizor","Fury Cutter",""
"Scolipede","Bug Bite",""
"Scolipede","Poison Jab",""
"Scrafty","Counter",""
"Scrafty","Snarl",""
"Scraggy","Feint Attack",""
"Scraggy","Rock Smash",""
"Scyther","Air Slash",""
"Scyther","Fury Cutter",""
"Seadra","Dragon Breath",""
"Seadra","Water Gun",""
"Seaking","Peck",""
"Seaking","Waterfall",""
"Sealeo","Powder Snow",""
"Sealeo","Water Gun",""
"Seedot","Bullet Seed",""
"Seedot","Quick Attack",""
"Seel","Ice Shard",""
"Seel","Lick",""
"Seismitoad","Bubble",""
"Seismitoad","Mud Shot",""
"Sentret","Quick Attack",""
"Sentret","Scratch",""
"Serperior","Iron Tail",""
"Serperior","Vine Whip",""
"Servine","Iron Tail",""
"Servine","Vine Whip",""
"Seviper","Iron Tail",""
"Seviper","Poison Jab",""
"Sewaddle","Bug Bite",""
"Sewaddle","Struggle Bug",""
"Sharpedo","Bite",""
"Sharpedo","Waterfall",""
"Shedinja","Bug Bite",""
"Shedinja","Shadow Claw",""
"Shelgon","Dragon Breath",""
"Shelgon","Ember",""
"Shellder","Ice Shard",""
"Shellder","Tackle",""
"Shelmet","Acid",""
"Shelmet","Infestation",""
"Shieldon","Iron Tail",""
"Shieldon","Tackle",""
"Shiftry","Feint Attack",""
"Shiftry","Razor Leaf",""
"Shiftry","Snarl",""
"Shinx","Spark",""
"Shinx","Tackle",""
"Shroomish","Bullet Seed",""
"Shroomish","Tackle",""
"Shuckle","Rock Throw",""
"Shuckle","Struggle Bug",""
"Shuppet","Astonish",""
"Shuppet","Feint Attack",""
"Sigilyph","Air Slash",""
"Sigilyph","Zen Headbutt",""
"Silcoon","Bug Bite",""
"Silcoon","Poison Sting",""
"Simipour","Bite",""
"Simipour","Water Gun",""
"Simisage","Bite",""
"Simisage","Vine Whip",""
"Simisear","Bite",""
"Simisear","Fire Spin",""
"Skarmory","Air Slash",""
"Skarmory","Steel Wing",""
"Skiploom","Bullet Seed",""
"Skiploom","Tackle",""
"Skitty","Feint Attack",""
"Skitty","Tackle",""
"Skorupi","Infestation",""
"Skorupi","Poison Sting",""
"Skuntank","Bite",""
"Skuntank","Poison Jab",""
"Slaking","Yawn",""
"Slakoth","Yawn",""
"Slowbro","Confusion",""
"Slowbro","Water Gun",""
"Slowking","Confusion",""
"Slowking","Water Gun",""
"Slowpoke","Confusion",""
"Slowpoke","Water Gun",""
"Slugma","Ember",""
"Slugma","Rock Throw",""
"Smoochum","Pound",""
"Smoochum","Powder Snow",""
"Sneasel","Feint Attack",""
"Sneasel","Ice Shard",""
"Snivy","Tackle",""
"Snivy","Vine Whip",""
"Snorlax","Lick",""
"Snorlax","Zen Headbutt",""
"Snorunt","Hex",""
"Snorunt","Powder Snow",""
"Snover","Ice Shard",""
"Snover","Powder Snow",""
"Snowy Form","Powder Snow",""
"Snowy Form","Tackle",""
"Snubbull","Bite",""
"Snubbull","Tackle",""
"Solosis","Hidden Power",""
"Solosis","Zen Headbutt",""
"Solrock","Confusion",""
"Solrock","Rock Throw",""
"Spearow","Peck",""
"Spearow","Quick Attack",""
"Speed Forme","Charge Beam",""
"Speed Forme","Zen Headbutt",""
"Spheal","Rock Smash",""
"Spheal","Water Gun",""
"Spinarak","Bug Bite",""
"Spinarak","Poison Sting",""
"Spinda","Psycho Cut",""
"Spinda","Sucker Punch",""
"Spiritomb","Feint Attack",""
"Spiritomb","Sucker Punch",""
"Spoink","Splash",""
"Spoink","Zen Headbutt",""
"Squirtle","Bubble",""
"Squirtle","Tackle",""
"Standard Mode","Fire Fang",""
"Standard Mode","Tackle",""
"Stantler","Tackle",""
"Stantler","Zen Headbutt",""
"Staraptor","Quick Attack",""
"Staraptor","Wing Attack",""
"Staravia","Quick Attack",""
"Staravia","Wing Attack",""
"Starly","Quick Attack",""
"Starly","Tackle",""
"Starmie","Hidden Power",""
"Starmie","Water Gun",""
"Staryu","Tackle",""
"Staryu","Water Gun",""
"Steelix","Dragon Tail",""
"Steelix","Iron Tail",""
"Steelix","Thunder Fang",""
"Stoutland","Ice Fang",""
"Stoutland","Lick",""
"Stoutland","Take Down",""
"Stunfisk","Mud Shot",""
"Stunfisk","Thunder Shock",""
"Stunky","Bite",""
"Stunky","Scratch",""
"Sudowoodo","Counter",""
"Sudowoodo","Rock Throw",""
"Suicune","Extrasensory",""
"Suicune","Ice Fang",""
"Suicune","Snarl",""
"Sunflora","Bullet Seed",""
"Sunflora","Razor Leaf",""
"Sunkern","Cut",""
"Sunkern","Razor Leaf",""
"Sunny Form","Ember",""
"Sunny Form","Tackle",""
"Sunshine Form","Bullet Seed",""
"Sunshine Form","Razor Leaf",""
"Surskit","Bubble",""
"Surskit","Bug Bite",""
"Swablu","Astonish",""
"Swablu","Peck",""
"Swadloon","Bug Bite",""
"Swadloon","Struggle Bug",""
"Swalot","Infestation",""
"Swalot","Rock Smash",""
"Swampert","Mud Shot",""
"Swampert","Water Gun",""
"Swanna","Air Slash",""
"Swanna","Water Gun",""
"Swellow","Steel Wing",""
"Swellow","Wing Attack",""
"Swinub","Powder Snow",""
"Swinub","Tackle",""
"Swoobat","Air Slash",""
"Swoobat","Confusion",""
"Taillow","Peck",""
"Taillow","Quick Attack",""
"Tangela","Infestation",""
"Tangela","Vine Whip",""
"Tangrowth","Infestation",""
"Tangrowth","Vine Whip",""
"Tauros","Tackle",""
"Tauros","Zen Headbutt",""
"Teddiursa","Lick",""
"Teddiursa","Scratch",""
"Tentacool","Bubble",""
"Tentacool","Poison Sting",""
"Tentacruel","Acid",""
"Tentacruel","Poison Jab",""
"Tepig","Ember",""
"Tepig","Tackle",""
"Terrakion","Smack Down",""
"Terrakion","Zen Headbutt",""
"Throh","Low Kick",""
"Throh","Zen Headbutt",""
"Timburr","Low Kick",""
"Timburr","Pound",""
"Tirtouga","Bite",""
"Tirtouga","Water Gun",""
"Togekiss","Air Slash",""
"Togekiss","Charm",""
"Togekiss","Hidden Power",""
"Togepi","Hidden Power",""
"Togepi","Peck",""
"Togetic","Extrasensory",""
"Togetic","Hidden Power",""
"Torchic","Ember",""
"Torchic","Scratch",""
"Torkoal","Ember",""
"Torkoal","Fire Spin",""
"Torterra","Bite",""
"Torterra","Razor Leaf",""
"Totodile","Scratch",""
"Totodile","Water Gun",""
"Toxicroak","Counter",""
"Toxicroak","Poison Jab",""
"Tranquill","Air Slash",""
"Tranquill","Steel Wing",""
"Trapinch","Mud Shot",""
"Trapinch","Struggle Bug",""
"Trash Cloak","Bug Bite",""
"Trash Cloak","Bug Bite",""
"Trash Cloak","Confusion",""
"Trash Cloak","Tackle",""
"Treecko","Bullet Seed",""
"Treecko","Pound",""
"Tropius","Air Slash",""
"Tropius","Razor Leaf",""
"Trubbish","Pound",""
"Trubbish","Take Down",""
"Turtwig","Razor Leaf",""
"Turtwig","Tackle",""
"Tympole","Bubble",""
"Tympole","Mud Shot",""
"Typhlosion","Ember",""
"Typhlosion","Shadow Claw",""
"Tyranitar","Bite",""
"Tyranitar","Iron Tail",""
"Tyranitar","Smack Down","Elite"
"Tyrogue","Rock Smash",""
"Tyrogue","Tackle",""
"Umbreon","Feint Attack",""
"Umbreon","Snarl",""
"Unfezant","Air Slash",""
"Unfezant","Steel Wing",""
"Unown","Hidden Power",""
"Ursaring","Counter",""
"Ursaring","Metal Claw",""
"Ursaring","Shadow Claw",""
"Uxie","Confusion",""
"Uxie","Extrasensory",""
"Vaporeon","Water Gun",""
"Venipede","Bug Bite",""
"Venipede","Poison Sting",""
"Venomoth","Confusion",""
"Venomoth","Infestation",""
"Venonat","Bug Bite",""
"Venonat","Confusion",""
"Venusaur","Razor Leaf",""
"Venusaur","Vine Whip",""
"Vespiquen","Air Slash",""
"Vespiquen","Bug Bite",""
"Vespiquen","Fury Cutter",""
"Vespiquen","Poison Sting",""
"Vibrava","Dragon Breath",""
"Vibrava","Mud Shot",""
"Victini","Confusion",""
"Victini","Quick Attack",""
"Victreebel","Acid",""
"Victreebel","Razor Leaf",""
"Vigoroth","Counter",""
"Vigoroth","Scratch",""
"Vileplume","Acid",""
"Vileplume","Razor Leaf",""
"Virizion","Quick Attack",""
"Virizion","Zen Headbutt",""
"Volbeat","Struggle Bug",""
"Volbeat","Tackle",""
"Voltorb","Spark",""
"Voltorb","Tackle",""
"Vulpix","Ember",""
"Vulpix","Quick Attack",""
"Wailmer","Splash",""
"Wailmer","Water Gun",""
"Wailord","Water Gun",""
"Wailord","Zen Headbutt",""
"Walrein","Frost Breath",""
"Walrein","Waterfall",""
"Wartortle","Bite",""
"Wartortle","Water Gun",""
"Watchog","Bite",""
"Watchog","Low Kick",""
"Weavile","Feint Attack",""
"Weavile","Ice Shard",""
"Weavile","Snarl",""
"Weedle","Bug Bite",""
"Weedle","Poison Sting",""
"Weepinbell","Acid",""
"Weepinbell","Bullet Seed",""
"Weezing","Infestation",""
"Weezing","Tackle",""
"West Sea","Hidden Power",""
"West Sea","Hidden Power",""
"West Sea","Mud-Slap",""
"West Sea","Mud-Slap",""
"Whimsicott","Charm",""
"Whimsicott","Razor Leaf",""
"Whirlipede","Bug Bite",""
"Whirlipede","Poison Sting",""
"Whiscash","Mud Shot",""
"Whiscash","Water Gun",""
"Whismur","Astonish",""
"Whismur","Pound",""
"Wigglytuff","Charm",""
"Wigglytuff","Feint Attack",""
"Wigglytuff","Pound",""
"Wingull","Quick Attack",""
"Wingull","Water Gun",""
"Wobbuffet","Charm",""
"Wobbuffet","Counter",""
"Wobbuffet","Splash",""
"Woobat","Air Slash",""
"Woobat","Confusion",""
"Wooper","Mud Shot",""
"Wooper","Water Gun",""
"Wurmple","Bug Bite",""
"Wurmple","Tackle",""
"Wynaut","Counter",""
"Wynaut","Splash",""
"Xatu","Air Slash",""
"Xatu","Feint Attack",""
"Yamask","Astonish",""
"Yamask","Zen Headbutt",""
"Yanma","Quick Attack",""
"Yanma","Wing Attack",""
"Yanmega","Bug Bite",""
"Yanmega","Wing Attack",""
"Zangoose","Fury Cutter",""
"Zangoose","Shadow Claw",""
"Zapdos","Charge Beam",""
"Zebstrika","Low Kick",""
"Zebstrika","Spark",""
"Zekrom","Charge Beam",""
"Zekrom","Dragon Breath",""
"Zigzagoon","Rock Smash",""
"Zigzagoon","Tackle",""
"Zubat","Bite",""
"Zubat","Quick Attack",""
"Zweilous","Bite",""
"Zweilous","Dragon Breath",""
